Version5;
PCI\VEN_8086&DEV_0A06	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1ULT
PCI\VEN_8086&DEV_0A06	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT1ULT
PCI\VEN_8086&DEV_0162	FORCED\5x86\HD4000_6.14.10.5437\	igxp32.inf	IntelGfx.NTx86.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics 4000
PCI\VEN_8086&DEV_0162	FORCED\5x64\HD4000_6.14.10.5437\	igxp64.inf	IntelGfx.NTamd64.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics 4000
PCI\VEN_8086&DEV_0162	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics 3000
PCI\VEN_8086&DEV_0162	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics 3000
PCI\VEN_8086&DEV_0166	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics 3000
PCI\VEN_8086&DEV_0166	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics 3000
PCI\VEN_8086&DEV_0166	FORCED\5x86\HD4000_6.14.10.5437\	igxp32.inf	IntelGfx.NTx86.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics 4000
PCI\VEN_8086&DEV_0166	FORCED\5x64\HD4000_6.14.10.5437\	igxp64.inf	IntelGfx.NTamd64.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics 4000
PCI\VEN_8086&DEV_0D16	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel Haswell HD Graphics - GT2CW
